1;11;1;TM46117000378;0C0E76786680;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
2;11;1;TM46117000386;0C0E76786A20;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
3;11;1;TM46118000016;0C0E768226C0;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
4;11;1;TM46118000017;0C0E768226E0;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
5;11;1;TM46118000018;0C0E76822700;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
6;11;1;TM46118000036;0C0E76822940;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
7;11;1;TC46118000020;0C0E76822740;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
8;11;1;TM46118000019;0C0E76822720;1;07.09.2022;1;false;;;;171;ТГК-121-10/2-О/р;;;B1A;
9;13;2;TM0F223000898;A42A9517E930;1;31.01.2023;1;false;;;;112;ТГК-121-16/4-М;;;;
10;13;2;TM0F223000899;A42A9517E850;1;31.01.2023;1;false;;;;112;ТГК-121-16/4-М;;;;
11;13;2;TM0F223000896;A42A9517E910;1;31.01.2023;1;false;;;;112;ТГК-121-16/4-М;;;;
12;13;2;TM0F223000897;A42A9517E990;1;31.01.2023;1;false;;;;112;ТГК-121-16/4-М;;;;
13;24;7;TM4A226000082;04BAD63CAA10;1;09.01.2023;10;true;25.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
14;24;7;TM4A226000004;04BAD636B830;1;09.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
15;24;7;TM4A226000057;04BAD63CA740;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
16;24;7;TM4A226000070;04BAD63CA620;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
17;24;7;TM4A226000071;04BAD63C9CF0;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
18;24;7;TM4A226000072;04BAD63CA650;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
19;24;7;TM4A226000076;04BAD63CA0E0;1;20.01.2023;1;false;;;;142;ТГК-121-24/4-2П/р;;;;
20;24;7;TM4A226000077;04BAD63CA6E0;1;20.01.2023;1;false;;;;142;ТГК-121-24/4-2П/р;;;;
21;24;7;TM4A226000078;04BAD63CAC80;1;20.01.2023;1;false;;;;142;ТГК-121-24/4-2П/р;;;;
22;24;7;TM4A226000079;04BAD63CA5F0;1;19.01.2023;1;false;;;;162;ТГК-121-24/4-2П/р;;;;
23;24;7;TM4A226000055;04BAD63CA320;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
24;24;7;TM4A226000081;04BAD63CA560;1;18.01.2023;1;false;;;;162;ТГК-121-24/4-2П/р;;;;
25;24;7;TM4A226000054;04BAD63CA2F0;1;09.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
26;24;7;TM4A226000084;04BAD63CA9B0;1;09.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
27;24;7;TM4A226000088;04BAD63CA8F0;1;10.01.2023;10;true;18.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
28;24;7;TM4A226000089;04BAD63CA8C0;1;10.01.2023;10;true;25.01.2023;;стр.123 Захаров №116;;ТГК-121-24/4-2П/р;;;;
